City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-12-21 17:14:29,-54.8,-68.3,58.62,62,40,35.68
1,Saint-Philippe,RE,2021-12-21 17:16:38,-21.3585,55.7679,78.39,87,74,12.01
2,Muros,ES,2021-12-21 17:16:38,42.7762,-9.0603,64.09,79,100,11.07
3,Leningradskiy,RU,2021-12-21 17:16:38,69.3833,178.4167,0.46,70,84,30.87
4,Billings,US,2021-12-21 17:15:18,45.7833,-108.5007,36.52,72,20,3.44
5,Vilhena,BR,2021-12-21 17:16:39,-12.7406,-60.1458,79.02,83,40,5.75
6,Coihaique,CL,2021-12-21 17:16:39,-45.5752,-72.0662,73.35,35,0,3.44
7,Skjervoy,NO,2021-12-21 17:16:39,70.0311,20.9714,26.78,55,100,10.67
8,Takoradi,GH,2021-12-21 17:16:40,4.8845,-1.7554,83.77,53,68,9.95
9,Kloulklubed,PW,2021-12-21 17:16:40,7.0419,134.2556,77.5,79,100,19.44
10,Busselton,AU,2021-12-21 17:16:40,-33.65,115.3333,60.08,85,17,14.45
11,Salalah,OM,2021-12-21 17:16:41,17.0151,54.0924,77.09,69,0,2.3
12,Kharp,RU,2021-12-21 17:16:41,66.8014,65.8081,-17.0,99,100,2.86
13,Asyut,EG,2021-12-21 17:16:41,27.181,31.1837,54.73,49,7,5.12
14,Castro,BR,2021-12-21 17:16:42,-24.7911,-50.0119,85.87,32,1,4.99
15,Touros,BR,2021-12-21 17:16:42,-5.1989,-35.4608,86.9,61,100,12.19
16,Faya,SA,2021-12-21 17:16:43,18.3851,42.4509,60.91,82,84,2.37
17,Avarua,CK,2021-12-21 17:16:43,-21.2078,-159.775,77.05,78,40,6.91
18,Coro,VE,2021-12-21 17:15:23,11.4045,-69.6734,85.39,63,53,15.75
19,Mackay,AU,2021-12-21 17:16:44,-21.15,149.2,71.04,72,12,1.74
20,Kailua,US,2021-12-21 17:16:44,21.4022,-157.7394,73.38,73,75,13.8
21,Tual,ID,2021-12-21 17:16:44,-5.6667,132.75,82.6,79,100,10.36
22,Saldanha,ZA,2021-12-21 17:16:45,-33.0117,17.9442,69.3,76,28,13.13
23,Borogontsy,RU,2021-12-21 17:16:45,62.6683,131.1683,-47.2,100,71,0.4
24,Chokurdakh,RU,2021-12-21 17:16:45,70.6333,147.9167,-10.08,97,100,9.46
25,Povolzhskiy,RU,2021-12-21 17:16:46,53.5854,49.7629,17.22,96,62,5.75
26,Greytown,ZA,2021-12-21 17:16:46,-29.0642,30.5928,63.25,99,94,1.95
27,Burla,IN,2021-12-21 17:16:47,21.5,83.8667,57.96,34,0,0.31
28,Cayenne,GF,2021-12-21 17:16:48,4.9333,-52.3333,86.04,82,75,7.0
29,Partyzany,UA,2021-12-21 17:16:48,46.3314,34.7503,27.43,94,96,14.36
30,Vaini,TO,2021-12-21 17:16:48,-21.2,-175.2,78.96,94,75,6.91
31,Sampit,ID,2021-12-21 17:16:49,-2.5333,112.95,74.3,98,92,0.29
32,Shostka,UA,2021-12-21 17:16:49,51.863,33.4698,12.34,73,99,9.55
33,Hofn,IS,2021-12-21 17:16:49,64.2539,-15.2082,34.09,76,97,4.38
34,Samana,DO,2021-12-21 17:15:15,19.2056,-69.3369,80.82,78,40,6.91
35,Esperance,AU,2021-12-21 17:13:14,-33.8667,121.9,62.67,83,99,10.89
36,Victoria,HK,2021-12-21 17:17:50,22.2855,114.1577,64.33,86,81,1.99
37,Bossangoa,CF,2021-12-21 17:17:51,6.4926,17.4552,85.98,26,38,3.6
38,Quelimane,MZ,2021-12-21 17:17:51,-17.8786,36.8883,80.55,74,40,9.22
39,Sinjai,ID,2021-12-21 17:17:51,-5.1241,120.253,77.9,80,100,3.8
40,Suntar,RU,2021-12-21 17:17:52,62.1444,117.6319,-45.92,100,81,2.28
41,Sungairaya,ID,2021-12-21 17:17:52,0.7,108.9,78.89,86,100,4.16
42,Asosa,ET,2021-12-21 17:17:52,10.0667,34.5333,69.93,46,92,2.93
43,Chicama,PE,2021-12-21 17:17:53,-7.8447,-79.1469,63.14,61,23,10.02
44,Obeliai,LT,2021-12-21 17:17:53,55.9667,25.15,17.8,68,42,5.23
45,Mairang,IN,2021-12-21 17:17:54,25.5667,91.6333,43.72,78,68,0.81
46,Gunjur,GM,2021-12-21 17:17:54,13.2019,-16.7339,84.27,51,99,4.61
47,Hobart,AU,2021-12-21 17:15:02,-42.8794,147.3294,55.26,55,97,1.99
48,Iqaluit,CA,2021-12-21 17:17:55,63.7506,-68.5145,-7.31,76,90,38.99
49,Opuwo,NA,2021-12-21 17:17:55,-18.0607,13.84,89.19,18,6,19.93
50,Pahrump,US,2021-12-21 17:15:59,36.2083,-115.9839,48.18,31,100,0.89
51,Praya,CV,2021-12-21 17:17:56,14.9215,-23.5087,77.54,61,40,19.57
52,Yellowknife,CA,2021-12-21 17:17:56,62.456,-114.3525,-21.48,76,75,4.61
53,Albany,US,2021-12-21 17:15:06,42.6001,-73.9662,40.08,66,100,5.14
54,Narsaq,GL,2021-12-21 17:17:57,60.9167,-46.05,46.62,65,100,11.05
55,Luderitz,NA,2021-12-21 17:17:57,-26.6481,15.1594,65.77,71,0,5.08
56,Barrow,US,2021-12-21 17:17:57,71.2906,-156.7887,-5.78,77,90,17.27
57,Tiksi,RU,2021-12-21 17:17:58,71.6872,128.8694,-17.93,97,100,10.07
58,Mataura,NZ,2021-12-21 17:17:58,-46.1927,168.8643,56.48,61,6,6.85
59,Ouesso,CG,2021-12-21 17:17:58,1.6136,16.0517,82.33,43,99,2.37
60,Bredasdorp,ZA,2021-12-21 17:17:59,-34.5322,20.0403,73.27,83,23,11.5
61,Upernavik,GL,2021-12-21 17:14:38,72.7868,-56.1549,23.77,75,34,6.35
62,Coahuayana,MX,2021-12-21 17:17:59,18.7333,-103.6833,87.28,38,26,3.85
63,Zuwarah,LY,2021-12-21 17:17:59,32.9312,12.082,57.45,52,0,3.74
64,Klaksvik,FO,2021-12-21 17:17:04,62.2266,-6.589,34.72,66,63,10.45
65,Souillac,MU,2021-12-21 17:18:00,-20.5167,57.5167,79.18,78,75,12.66
66,Impfondo,CG,2021-12-21 17:18:00,1.6381,18.0667,85.32,46,86,1.25
67,Codrington,AU,2021-12-21 17:18:01,-38.2667,141.9667,57.83,70,68,8.86
68,Arinos,BR,2021-12-21 17:18:01,-15.9169,-46.1056,82.24,70,85,3.67
69,Qaanaaq,GL,2021-12-21 17:18:01,77.484,-69.3632,35.38,73,99,10.45
70,Rikitea,PF,2021-12-21 17:18:02,-23.1203,-134.9692,72.9,90,100,12.03
71,Miri,MY,2021-12-21 17:18:02,4.4148,114.0089,77.14,100,20,0.0
72,Okhotsk,RU,2021-12-21 17:19:03,59.3833,143.3,-5.69,88,99,12.19
73,Kodiak,US,2021-12-21 17:14:38,57.79,-152.4072,31.84,74,21,12.82
74,Dukat,RU,2021-12-21 17:19:03,62.55,155.55,-29.0,90,53,4.16
75,Natal,BR,2021-12-21 17:19:04,-5.795,-35.2094,86.65,66,75,12.66
76,Xinzhou,CN,2021-12-21 17:19:04,38.4092,112.7333,32.02,33,0,0.4
77,Nikolskoye,RU,2021-12-21 17:19:05,59.7035,30.7861,9.79,93,100,7.2
78,Uusikaupunki,FI,2021-12-21 17:19:05,60.8004,21.4084,7.32,79,0,5.5
79,Scottsboro,US,2021-12-21 17:19:05,34.6723,-86.0341,49.98,61,90,4.61
80,Talakan,RU,2021-12-21 17:19:05,50.3167,130.3667,-29.81,100,35,2.59
81,Jamestown,US,2021-12-21 17:19:06,42.097,-79.2353,37.02,70,90,7.0
82,Ostrovnoy,RU,2021-12-21 17:19:06,68.0531,39.5131,24.73,67,100,18.3
83,Hlukhiv,UA,2021-12-21 17:19:06,51.6782,33.9162,10.49,78,98,7.56
84,Asau,RO,2021-12-21 17:19:07,46.4333,26.4,22.75,87,91,1.25
85,Abha,SA,2021-12-21 17:19:07,18.2164,42.5053,60.62,88,0,4.61
86,Nabire,ID,2021-12-21 17:19:08,-3.3667,135.4833,76.75,92,98,3.22
87,Hualmay,PE,2021-12-21 17:19:08,-11.0964,-77.6139,72.81,69,49,9.62
88,Liverpool,GB,2021-12-21 17:18:13,53.4106,-2.9779,40.68,83,75,5.99
89,Kamenka,RU,2021-12-21 17:19:08,51.3223,42.7678,2.07,95,47,3.58
90,Hermanus,ZA,2021-12-21 17:19:09,-34.4187,19.2345,87.91,63,0,15.95
91,Pevek,RU,2021-12-21 17:19:09,69.7008,170.3133,-6.27,79,100,13.27
