City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Castro,BR,72.66,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Saint-Philippe,RE,78.35,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
7,Carnarvon,AU,71.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
10,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Rikitea,PF,77.16,overcast clouds,-23.1203,-134.9692,People ThankYou
13,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
15,Atuona,PF,78.73,few clouds,-9.8,-139.0333,Villa Enata
17,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
20,Faanui,PF,82.29,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Jimeta,NG,77.18,clear sky,9.2833,12.4667,Yola International Hotel
28,Yulara,AU,73.24,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
31,Kulhudhuffushi,MV,80.08,scattered clouds,6.6221,73.07,Haajy Guest House 1
32,Moranbah,AU,81.21,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
34,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
35,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
37,Hithadhoo,MV,81.41,overcast clouds,-0.6,73.0833,Scoop Guest House
39,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
40,Harper,LR,80.64,scattered clouds,4.375,-7.7169,Screensaver
45,Eyl,SO,75.9,overcast clouds,7.9803,49.8164,Amiin Hotel
46,Kavieng,PG,82.96,light rain,-2.5744,150.7967,Nusa Island Retreat
47,Winneba,GH,82.87,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
48,Tabou,CI,80.53,scattered clouds,4.423,-7.3528,hotêl doufoulougou
49,Xuddur,SO,74.07,overcast clouds,4.1213,43.8894,Banjanay Hotel
50,Mabaruma,GY,74.53,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
53,Hilo,US,72.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
54,Bengkulu,ID,74.64,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
59,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
66,Malakal,SS,80.76,scattered clouds,9.5334,31.6605,Nile Palace Hotel
67,Butaritari,KI,81.05,broken clouds,3.0707,172.7902,Isles Sunset Lodge
68,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
74,Labrea,BR,74.8,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
76,Douentza,ML,73.33,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
77,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
79,Sesheke,ZM,70.77,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
80,Vangaindrano,MG,74.59,broken clouds,-23.35,47.6,Hotel Fanilo
84,Huarmey,PE,72.09,few clouds,-10.0681,-78.1522,Hotel Miramar
85,Chuy,UY,70.07,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
95,Itarema,BR,81.54,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
97,Kati,ML,80.01,overcast clouds,12.7441,-8.0726,Lingot d’or
99,Inirida,CO,78.8,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
104,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
107,Vaitape,PF,82.29,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
108,Cotonou,BJ,84.18,dust,6.3654,2.4183,Novotel Cotonou Orisha
109,Bertoua,CM,74.26,clear sky,4.5833,13.6833,Hotel De Paris
112,Palembang,ID,75.11,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
115,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
118,Kavaratti,IN,78.87,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
119,Sulangan,PH,80.49,overcast clouds,11.1373,123.7228,Maia's Beach Resort
122,Bowen,AU,75.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
123,Biak,ID,76.12,overcast clouds,-0.9131,122.8766,Penginapan Kim
125,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
126,Atar,MR,71.31,clear sky,20.5169,-13.0499,Oumou Elghoura
129,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
130,Kismayo,SO,79.92,overcast clouds,-0.3582,42.5454,Agan-Hotel
132,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
135,Cidreira,BR,71.37,clear sky,-30.1811,-50.2056,Hotel Castelo
140,Lorengau,PG,83.28,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
142,Itacarambi,BR,73.44,scattered clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
147,Hualmay,PE,71.69,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
148,Souillac,MU,79.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
152,Rocha,UY,70.16,clear sky,-34.4833,-54.3333,Hotel Arrarte
153,Salalah,OM,71.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
156,Maxixe,MZ,75.88,overcast clouds,-23.8597,35.3472,Oceano
157,Kahului,US,72.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
160,Oussouye,SN,80.6,overcast clouds,12.485,-16.5469,Auberge du Routard
164,Sigli,ID,76.53,overcast clouds,5.3848,95.9609,Losmen Dua Mali
174,Robertsport,LR,81.93,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
175,Bacolod,PH,74.98,overcast clouds,10.6667,122.95,Planta Hotel & Residences
179,Dwarka,IN,71.35,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
181,Dingle,PH,73.38,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
188,Palmas,BR,82.27,thunderstorm,-10.2128,-48.3603,Hotel Lago da Palma
189,Tambura,SS,76.14,overcast clouds,5.6,27.4667,Rikito Lodge
195,Panalingaan,PH,76.19,scattered clouds,8.7842,117.4231,I Love Panalingaan View Deck
198,Poum,NC,81.16,clear sky,-20.2333,164.0167,Gîte kajeon
200,Hobyo,SO,78.4,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
201,Maldonado,UY,71.22,clear sky,-34.6667,-54.9167,La Cimarrona
209,Manokwari,ID,78.13,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
212,Kailua,US,76.75,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
214,Mahibadhoo,MV,81.55,overcast clouds,3.7833,72.9667,Omadhoo Inn
217,Jacqueville,CI,84.11,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
226,Villahermosa,MX,77.07,overcast clouds,17.9833,-92.9167,Olmeca Plaza
228,Jeremie,HT,78.64,broken clouds,18.65,-74.1167,Auberge’Inn
232,Narrabri,AU,73.53,light rain,-30.3167,149.7833,Crossroads Hotel
233,Ormara,PK,74.19,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
238,Lambare,PY,81.48,overcast clouds,-25.3468,-57.6065,La casa de Víctor-Jacinto
244,Fayaoue,NC,80.13,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
246,Sambava,MG,77.11,light rain,-14.2667,50.1667,Melrose
247,Alyangula,AU,84.69,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
253,Inhambane,MZ,76.64,overcast clouds,-23.865,35.3833,Oceano
254,Antalaha,MG,77.31,broken clouds,-14.9003,50.2788,Hotel Vitasoa
258,Kalmunai,LK,75.54,scattered clouds,7.4167,81.8167,VS Villa
259,Vanimo,PG,76.42,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
263,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
